,loggingTime(txt),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
582,19.662000000000003,0.1955639123916626,-0.5205257534980774,-2.730122804641724,0.5688629150390625,-0.802825927734375,0.009368896484375
583,19.709,0.124122217297554,-0.5298758149147034,-2.931414604187012,0.660430908203125,-0.74066162109375,0.0411224365234375
584,19.733,0.0876912325620651,-0.5776715874671936,-3.25007152557373,0.721405029296875,-0.6871337890625,-0.00994873046875
585,19.767,0.0685167461633682,-0.5078975558280945,-2.710352659225464,0.76275634765625,-0.6124725341796875,0.0093994140625
586,19.802,0.0788753703236579,-0.3526150286197662,-2.561506986618042,0.8545074462890625,-0.5679779052734375,-0.0098724365234375
587,19.833000000000002,0.1123244091868401,-0.2983105182647705,-2.472051382064819,0.888916015625,-0.4803924560546875,-0.0155181884765625
588,19.863,0.0362522788345813,-0.3446098566055298,-2.272344827651978,0.911895751953125,-0.4285125732421875,-0.044342041015625
589,19.902,0.1010054424405098,-0.2804263234138489,-1.690498471260071,0.9309844970703124,-0.3732147216796875,-0.0250396728515625
590,19.950000000000003,0.1001851931214333,-0.2432600557804108,-1.348308920860291,0.971649169921875,-0.2752532958984375,-0.0372161865234375
591,19.963,0.0207295138388872,-0.2213427722454071,-0.9479116797447203,0.9615936279296876,-0.257232666015625,-0.0600738525390625
592,20.009,0.0900073871016502,-0.1788595020771027,-0.4339474439620972,0.9675750732421876,-0.2324066162109375,-0.058685302734375
593,20.033,0.1027226522564888,-0.0624655075371265,-0.3768548667430878,1.03094482421875,-0.185272216796875,-0.0587921142578125
594,20.073,0.0119911488145589,-0.046039130538702,-0.5082834362983704,0.9912261962890624,-0.1993255615234375,-0.069549560546875
595,20.103,0.0295027643442153,0.0534909218549728,0.2258123606443405,0.956787109375,-0.211883544921875,-0.055084228515625
596,20.133000000000003,-0.0082219773903489,0.1139843612909317,1.316411137580872,0.9503326416015624,-0.2477874755859375,-0.0489654541015625
597,20.189,0.0923986360430717,0.1465473622083664,0.8826653361320496,1.070968627929688,-0.2383575439453125,-0.06365966796875
